room_id,hotel_id,room_type,availability,price_per_night
1,1,Suite,No,245.6928861
2,1,Suite,Yes,83.7640695
3,1,Single,Yes,335.1645386
4,1,Single,Yes,247.7813656
5,1,Single,No,250.896467
6,1,Double,No,345.7240892
7,1,Single,No,52.36716525
8,1,Single,No,278.9383822
9,1,Suite,Yes,473.6415384
10,1,Single,Yes,184.3338751
11,1,Double,No,82.65588414
12,1,Suite,Yes,122.8422643
13,1,Single,No,367.144506
14,1,Single,Yes,429.296532
15,1,Single,Yes,363.4006928
16,1,Double,Yes,341.7416383
17,1,Single,Yes,100.4777307
18,1,Suite,No,384.2091359
19,1,Double,No,223.1029286
20,1,Single,No,448.1011885
21,1,Double,No,120.1361557
22,1,Single,No,317.4893295
23,1,Double,Yes,176.7089176
24,1,Double,Yes,66.79020351
25,1,Double,No,339.5284408
26,1,Suite,No,215.8505929
27,1,Single,Yes,63.93938275
28,1,Suite,No,421.4470361
29,1,Double,No,315.9778775
30,1,Single,No,63.66085752
31,1,Single,Yes,167.0394523
32,1,Single,No,293.3287839
33,1,Single,Yes,312.9126244
34,1,Single,Yes,378.4535235
35,1,Suite,No,293.9943437
36,1,Double,Yes,484.3391859
37,1,Double,Yes,334.8466803
38,1,Suite,No,306.6006498
39,1,Suite,No,92.42670815
40,1,Double,Yes,475.7043909
41,1,Suite,Yes,82.92024465
42,1,Suite,Yes,251.7506077
43,1,Double,No,145.5639702
44,1,Single,No,243.5859063
45,1,Single,No,190.1733135
46,1,Suite,No,217.3595158
47,1,Double,No,488.2947285
48,1,Double,No,190.488899
49,1,Double,Yes,473.5115049
50,1,Suite,No,89.55449485
51,1,Single,No,397.2470352
52,1,Single,Yes,281.1871391
53,1,Double,Yes,73.0194318
54,1,Single,Yes,278.8139185
55,1,Double,Yes,139.4899635
56,1,Double,Yes,233.9353812
57,1,Single,No,95.19254839
58,1,Double,Yes,263.6431092
59,1,Single,Yes,469.697489
60,1,Single,No,265.9705212
61,1,Suite,Yes,140.2075432
62,1,Double,No,305.2134849
63,1,Double,Yes,204.9787352
64,1,Suite,Yes,488.0644536
65,1,Double,No,110.3315282
66,1,Double,Yes,133.5433212
67,1,Double,Yes,167.2699129
68,1,Double,No,241.9073465
69,1,Single,No,313.8535271
70,1,Suite,No,487.736536
71,1,Double,Yes,58.69475317
72,1,Double,No,85.43555654
73,1,Double,No,327.5716509
74,1,Double,Yes,232.5243951
75,1,Double,Yes,368.9453158
76,1,Double,No,253.9397742
77,1,Double,No,182.5491936
78,1,Suite,No,95.18610137
79,1,Double,Yes,441.7266181
80,1,Single,No,220.766062
81,1,Suite,No,360.515673
82,1,Single,Yes,373.7786252
83,1,Suite,No,180.063341
84,1,Double,No,467.6569044
85,1,Suite,Yes,341.2211322
86,1,Single,Yes,299.4577929
87,1,Suite,No,495.6848864
88,1,Suite,No,134.7871736
89,1,Single,No,199.3651799
90,1,Suite,Yes,223.0934961
91,1,Single,No,141.9819228
92,1,Double,Yes,331.0843658
93,1,Suite,Yes,405.9382522
94,1,Single,No,79.88425962
95,1,Suite,Yes,257.6082417
96,1,Double,No,78.81474078
97,1,Suite,Yes,230.376921
98,1,Suite,Yes,450.2385929
99,1,Suite,Yes,379.9188462
100,1,Suite,Yes,309.2161405
101,1,Single,Yes,82.94443826
102,1,Double,Yes,136.2752425
103,1,Double,No,192.8819116
104,1,Single,No,457.6132761
105,1,Single,No,168.152358
106,1,Double,Yes,397.9096391
107,1,Suite,Yes,81.56407876
108,1,Double,Yes,249.9330459
109,1,Double,Yes,476.8438994
110,1,Suite,Yes,86.37526364
111,1,Suite,No,100.8021651
112,1,Double,Yes,154.9072583
113,1,Suite,No,356.3221492
114,1,Double,No,168.1686211
115,1,Double,No,406.227578
116,1,Double,Yes,189.1241712
117,1,Single,Yes,190.9740071
118,1,Suite,Yes,200.0927009
119,1,Double,No,247.3993695
120,1,Double,No,308.1835194
121,1,Single,Yes,176.2508413
122,1,Double,Yes,76.32750495
123,1,Double,Yes,479.7621647
124,1,Single,No,396.8696734
125,1,Single,Yes,138.0113915
126,1,Double,No,375.9197932
127,1,Suite,No,240.8066176
128,1,Suite,Yes,449.2010762
129,1,Single,No,77.80561422
130,1,Suite,Yes,193.3584812
131,1,Single,Yes,126.1382317
132,1,Single,No,304.7798232
133,1,Suite,Yes,428.3930021
134,1,Suite,No,365.7903823
135,1,Suite,No,141.1991932
136,1,Single,Yes,445.7767095
137,1,Double,Yes,479.9902853
138,1,Double,No,410.2245377
139,1,Single,Yes,63.30330813
140,1,Suite,Yes,77.17948932
141,1,Single,Yes,488.8110869
142,1,Single,Yes,446.5810252
143,1,Single,Yes,269.2279349
144,1,Suite,Yes,305.0640496
145,1,Suite,Yes,288.2059241
146,1,Single,Yes,420.0066009
147,1,Suite,Yes,242.4227511
148,1,Single,No,388.8083452
149,1,Double,Yes,170.3089351
150,1,Single,Yes,176.6043349
151,1,Suite,Yes,116.9877242
152,1,Double,No,54.94235801
153,1,Single,Yes,316.9935814
154,1,Single,Yes,381.2765134
155,1,Single,Yes,344.1460685
156,1,Suite,Yes,438.0994162
157,1,Double,No,147.0044013
158,1,Double,No,81.24927821
159,1,Suite,Yes,404.617349
160,1,Single,Yes,487.0967601
161,1,Double,No,304.2847094
162,1,Suite,No,413.409719
163,1,Suite,No,473.6791756
164,1,Double,No,319.3481667
165,1,Suite,Yes,134.5674453
166,1,Single,No,196.8850129
167,1,Suite,Yes,456.282578
168,1,Suite,Yes,299.4856609
169,1,Double,No,205.0383236
170,1,Double,No,429.0694436
171,1,Double,Yes,104.9272684
172,1,Suite,No,186.5779689
173,1,Suite,Yes,319.6230197
174,1,Suite,No,150.3890839
175,1,Suite,No,235.4329658
176,1,Single,No,232.5383218
177,1,Single,No,309.8150865
178,1,Single,No,457.6196119
179,1,Suite,Yes,471.713855
180,1,Single,Yes,329.7962817
181,1,Suite,Yes,310.910899
182,1,Double,No,187.0605565
183,1,Single,Yes,74.53130719
184,1,Single,Yes,142.2088014
185,1,Suite,No,440.6658811
186,1,Single,No,434.1306673
187,1,Single,Yes,472.3616607
188,1,Single,No,163.2712626
189,1,Double,Yes,269.3102141
190,1,Double,Yes,73.95465447
191,1,Single,No,376.4329138
192,1,Single,Yes,404.9917448
193,1,Suite,Yes,324.595386
194,1,Single,No,178.3767343
195,1,Suite,No,372.2904552
196,1,Double,No,221.5829182
197,1,Double,Yes,224.979218
198,1,Single,No,108.5315358
199,1,Suite,No,70.75419055
200,1,Suite,Yes,97.52873479
201,1,Suite,No,193.2876055
202,1,Double,Yes,468.5335961
203,1,Single,No,264.0862113
204,1,Single,No,89.40921602
205,1,Single,No,120.6060757
206,1,Suite,Yes,130.0690445
207,1,Suite,No,376.431056
208,1,Double,Yes,96.90261074
209,1,Double,Yes,491.5839737
210,1,Suite,Yes,372.9575832
211,1,Double,Yes,370.2445852
212,1,Double,Yes,384.7200804
213,1,Single,Yes,170.7573287
214,1,Single,Yes,381.4099327
215,1,Double,Yes,378.3682788
216,1,Suite,No,144.6137964
217,1,Double,No,330.7372914
218,1,Suite,No,205.462278
219,1,Suite,Yes,451.4456476
220,1,Double,No,93.42719365
221,1,Suite,Yes,87.62094022
222,1,Single,Yes,337.4264776
223,1,Single,No,284.5768825
224,1,Double,No,109.5184159
225,1,Suite,Yes,167.0906033
226,1,Single,Yes,367.0735444
227,1,Suite,No,56.34531381
228,1,Double,No,323.076774
229,1,Single,No,423.1364753
230,1,Double,No,70.73415838
231,1,Double,No,103.382719
232,1,Double,Yes,464.3292824
233,1,Double,Yes,358.1276348
234,1,Double,No,396.7783855
235,1,Single,Yes,346.4622682
236,1,Double,Yes,378.8059401
237,1,Double,Yes,136.207654
238,1,Single,No,413.0843829
239,1,Suite,No,322.809781
240,1,Double,No,447.5610732
241,1,Single,Yes,137.441076
242,1,Double,Yes,215.2410655
243,1,Single,No,450.9627078
244,1,Single,No,453.9643841
245,1,Single,No,294.3562659
246,1,Double,Yes,196.709389
247,1,Double,No,379.2832892
248,1,Double,No,93.33533993
249,1,Suite,No,136.2361214
250,1,Single,Yes,424.4650703
251,1,Single,Yes,488.6517785
252,1,Double,Yes,98.58956277
253,1,Double,Yes,196.1893992
254,1,Suite,No,100.7484078
255,1,Suite,Yes,118.9954245
256,1,Double,No,172.3620242
257,1,Suite,Yes,142.5277769
258,1,Double,Yes,203.4347829
259,1,Single,Yes,368.8644049
260,1,Double,No,112.4012289
261,1,Suite,No,306.1169497
262,1,Suite,No,212.0925335
263,1,Suite,No,293.2387946
264,1,Suite,Yes,307.7863828
265,1,Single,Yes,178.3617967
266,1,Single,No,150.9708157
267,1,Single,No,371.4882908
268,1,Double,Yes,145.5127708
269,1,Single,No,105.4981193
270,1,Single,Yes,220.4139612
271,1,Double,No,176.3548385
272,1,Single,No,497.4569404
273,1,Suite,No,325.5147992
274,1,Double,No,277.1605158
275,1,Single,Yes,135.1703771
276,1,Double,Yes,266.4272858
277,1,Double,Yes,135.5715132
278,1,Suite,Yes,479.2184886
279,1,Suite,Yes,281.3406538
280,1,Suite,No,234.508342
281,1,Single,No,62.33616567
282,1,Suite,Yes,429.6473703
283,1,Double,No,382.6982773
284,1,Double,No,95.47458956
285,1,Suite,Yes,309.1159158
286,1,Double,Yes,219.4478609
287,1,Single,Yes,283.70605
288,1,Single,Yes,156.7833085
289,1,Single,Yes,169.1281447
290,1,Single,No,283.9700848
291,1,Double,Yes,327.2133467
292,1,Single,No,441.8252628
293,1,Double,No,240.0048943
294,1,Double,No,112.6763883
295,1,Suite,No,335.7067919
296,1,Double,Yes,277.7354
297,1,Suite,Yes,432.135786
298,1,Suite,Yes,84.60395544
299,1,Suite,Yes,107.5088067
300,1,Suite,Yes,412.0864119
301,1,Double,No,132.9321633
302,1,Double,Yes,244.852347
303,1,Single,Yes,191.8950757
304,1,Suite,No,53.92734634
305,1,Single,Yes,110.962773
306,1,Double,Yes,396.3846753
307,1,Double,No,287.4319322
308,1,Single,Yes,421.0769028
309,1,Double,Yes,370.3818155
310,1,Suite,No,158.4597416
311,1,Suite,No,77.3773769
312,1,Double,Yes,320.3449839
313,1,Double,Yes,388.0397481
314,1,Suite,Yes,185.8035604
315,1,Double,Yes,107.9042765
316,1,Single,Yes,207.0424855
317,1,Single,No,74.12461333
318,1,Suite,No,77.63454832
319,1,Double,No,273.723455
320,1,Double,Yes,94.40440771
321,1,Suite,No,93.20365387
322,1,Single,No,110.2312801
323,1,Double,Yes,301.267977
324,1,Single,Yes,195.8787331
325,1,Single,No,347.649967
326,1,Double,No,225.8778559
327,1,Single,Yes,383.1561028
328,1,Suite,No,212.3310065
329,1,Double,Yes,386.3471602
330,1,Single,Yes,315.8003241
331,1,Double,Yes,393.3995632
332,1,Suite,Yes,177.2461025
333,1,Double,Yes,337.1089198
334,1,Double,Yes,170.7126561
335,1,Double,Yes,339.9518396
336,1,Single,No,246.5441208
337,1,Single,No,405.512957
338,1,Suite,No,146.7209038
339,1,Double,Yes,323.8208368
340,1,Single,Yes,93.22606145
341,1,Double,No,377.1349281
342,2,Double,No,157.3032956
343,2,Double,No,361.535857
344,2,Single,No,127.8985051
345,2,Double,No,60.70216038
346,2,Single,No,419.3801803
347,2,Suite,Yes,443.8805807
348,2,Single,No,356.4366104
349,2,Single,Yes,245.0655969
350,2,Single,No,348.6773393
351,2,Suite,No,404.0378085
352,2,Single,No,50.13738552
353,2,Single,No,461.5917694
354,2,Single,No,235.7769964
355,2,Double,No,175.241321
356,2,Single,No,405.3958804
357,2,Single,No,59.38853934
358,2,Double,No,335.9413283
359,2,Single,No,54.72521505
360,2,Single,Yes,471.5808862
361,2,Suite,Yes,343.788001
362,2,Suite,No,80.01263034
363,2,Single,No,378.6938016
364,2,Double,Yes,176.0506376
365,2,Double,Yes,127.4071576
366,2,Single,Yes,426.979586
367,2,Single,Yes,80.30076025
368,2,Suite,No,477.4863435
369,2,Suite,No,194.3228123
370,2,Single,No,214.1203954
371,2,Suite,Yes,404.8760225
372,2,Single,Yes,492.570885
373,2,Suite,No,236.5193402
374,2,Suite,Yes,298.6584269
375,2,Suite,Yes,346.8551487
376,2,Single,Yes,398.5421894
377,2,Single,Yes,220.9472762
378,2,Double,No,233.2897731
379,2,Single,Yes,115.7442202
380,2,Double,No,360.0761201
381,2,Single,No,491.8365769
382,2,Suite,Yes,283.6484328
383,2,Suite,No,252.6398864
384,2,Double,Yes,197.3974147
385,2,Suite,No,230.8990164
386,2,Double,Yes,158.6713965
387,2,Suite,No,448.7324742
388,2,Single,Yes,296.7475865
389,2,Single,No,141.5252272
390,2,Suite,No,385.8888131
391,2,Suite,Yes,446.9657371
392,2,Double,Yes,411.9955323
393,2,Single,No,68.81774818
394,2,Double,Yes,81.2058589
395,2,Single,No,258.5762989
396,2,Double,Yes,242.4221054
397,2,Suite,Yes,134.3203163
398,2,Double,Yes,192.7995654
399,2,Double,No,106.4347381
400,2,Double,Yes,466.3989552
401,2,Suite,No,351.014805
402,2,Double,No,168.6508902
403,2,Single,Yes,492.7828137
404,2,Double,No,210.7846041
405,2,Single,Yes,394.6933182
406,2,Suite,Yes,203.0996166
407,2,Double,No,305.2873479
408,2,Suite,No,113.5363568
409,2,Single,Yes,384.1326625
410,2,Double,No,119.438725
411,2,Suite,No,210.5651199
412,2,Single,Yes,336.9516132
413,2,Single,Yes,307.5801611
414,2,Double,Yes,156.8546757
415,2,Single,Yes,335.7934146
416,2,Suite,No,343.7599806
417,2,Suite,No,95.83134838
418,2,Double,Yes,398.5474748
419,2,Double,No,215.042179
420,2,Double,Yes,389.585429
421,2,Single,No,442.5655289
422,2,Single,Yes,255.9033891
423,2,Single,Yes,280.6333722
424,2,Double,Yes,285.2197951
425,2,Single,No,404.714407
426,2,Suite,No,258.2615385
427,2,Suite,Yes,342.1331612
428,2,Suite,No,299.9858976
429,2,Suite,Yes,255.3772208
430,2,Single,Yes,84.16974194
431,2,Double,No,108.0133098
432,2,Double,No,370.0709283
433,2,Suite,No,108.7336551
434,2,Double,Yes,446.8789726
435,2,Single,Yes,137.2615667
436,2,Single,Yes,280.4186892
437,2,Single,Yes,489.4276696
438,2,Double,No,71.07138499
439,2,Double,No,498.9247856
440,2,Suite,Yes,113.3043843
441,2,Suite,No,250.7093878
442,2,Single,No,321.8825225
443,2,Double,Yes,186.7769717
444,2,Single,Yes,255.2741078
445,2,Single,Yes,310.1372057
446,2,Double,Yes,441.4304918
447,2,Single,Yes,452.493881
448,2,Suite,Yes,318.4323283
449,2,Suite,Yes,228.7803432
450,2,Suite,Yes,227.7175846
451,2,Suite,No,398.4268588
452,2,Double,No,195.8067717
453,2,Single,Yes,202.8600012
454,2,Double,Yes,245.454802
455,2,Single,No,234.3887575
456,2,Suite,No,78.90060983
457,2,Double,Yes,358.414906
458,2,Single,Yes,287.5101441
459,2,Single,No,145.3541112
460,2,Double,No,454.4092495
461,2,Double,Yes,312.2588712
462,2,Double,No,496.855863
463,2,Double,Yes,483.3212521
464,2,Double,Yes,484.7004686
465,2,Suite,No,455.8733826
466,2,Single,Yes,224.5724807
467,2,Double,No,227.8737205
468,2,Double,Yes,125.7055409
469,2,Single,Yes,268.7263575
470,2,Suite,No,189.2411922
471,2,Suite,Yes,64.97197933
472,2,Suite,Yes,109.614607
473,2,Suite,Yes,438.6284764
474,2,Suite,No,257.4272316
475,2,Single,Yes,226.7648043
476,2,Double,Yes,261.6331181
477,2,Suite,No,125.7703852
478,2,Suite,Yes,238.9024732
479,2,Single,No,253.2849589
480,2,Double,No,435.1438252
481,2,Single,No,196.1123197
482,2,Single,Yes,387.8758535
483,2,Suite,Yes,236.1435442
484,2,Suite,No,147.3190754
485,2,Suite,No,295.0218894
486,2,Single,No,382.8866423
487,2,Single,Yes,307.2153318
488,2,Single,Yes,268.6438313
489,2,Suite,Yes,174.2847682
490,2,Suite,Yes,259.7811207
491,2,Suite,No,396.5756419
492,2,Suite,No,360.2707827
493,2,Single,Yes,84.00468992
494,2,Double,Yes,215.3540315
495,2,Suite,Yes,265.6267
496,2,Double,Yes,165.6307422
497,2,Double,Yes,490.8741661
498,2,Suite,Yes,130.9738769
499,2,Double,No,167.9050805
500,2,Single,No,249.72165
501,2,Single,Yes,458.5606347
502,2,Single,No,180.7298597
503,2,Double,No,250.9856499
504,2,Suite,Yes,337.1807255
505,2,Suite,Yes,309.8342422
506,2,Single,Yes,325.6963312
507,2,Suite,Yes,97.60301423
508,2,Single,No,168.8179033
509,2,Single,No,203.6788823
510,2,Suite,Yes,425.6149322
511,2,Single,No,367.1718876
512,2,Single,Yes,376.0040532
513,2,Suite,No,93.57292009
514,2,Suite,No,380.6080061
515,2,Single,No,479.7675026
516,2,Double,No,198.1180024
517,2,Suite,Yes,451.8672328
518,2,Suite,Yes,78.51805916
519,2,Single,Yes,189.5309789
520,2,Double,No,186.5465115
521,2,Double,Yes,359.5664348
522,2,Double,No,235.9848672
523,2,Suite,No,206.5011375
524,2,Suite,Yes,274.854571
525,2,Double,Yes,95.89199981
526,2,Suite,No,311.8337196
527,2,Single,Yes,462.5365097
528,2,Double,Yes,379.7811763
529,2,Suite,Yes,123.0570485
530,2,Double,No,409.0066698
531,2,Suite,Yes,185.2169701
532,2,Suite,Yes,241.2133026
533,2,Suite,No,289.3975448
534,2,Double,No,65.87093041
535,2,Single,Yes,79.13576532
536,2,Single,Yes,353.9623835
537,2,Double,No,305.9419013
538,2,Suite,Yes,479.474658
539,2,Double,Yes,138.0971437
540,2,Single,No,483.4008975
541,2,Single,Yes,95.98935845
542,2,Single,Yes,270.8932811
543,2,Double,Yes,381.9482223
544,2,Single,No,92.1605827
545,2,Double,Yes,449.8483067
546,2,Double,Yes,470.5716469
547,2,Suite,Yes,399.6356595
548,2,Double,Yes,293.7667279
549,2,Single,Yes,74.75229641
550,2,Single,Yes,139.106707
551,2,Double,Yes,480.409339
552,2,Single,Yes,215.9152331
553,2,Suite,Yes,261.0468278
554,2,Suite,No,93.61101738
555,2,Single,Yes,243.5140337
556,2,Single,Yes,90.56154753
557,2,Single,No,200.8617628
558,2,Single,No,292.7349929
559,2,Double,No,195.4933009
560,2,Suite,Yes,169.6715552
561,2,Double,Yes,489.9936507
562,2,Double,No,362.2634302
563,2,Double,No,399.7392892
564,2,Single,Yes,62.32223334
565,2,Single,Yes,292.3769608
566,2,Single,No,262.085703
567,2,Suite,Yes,420.7426777
568,2,Double,Yes,142.3240057
569,2,Single,Yes,319.6160744
570,2,Suite,No,449.0486168
571,2,Double,No,310.5068924
572,2,Single,No,213.6764121
573,2,Single,Yes,275.5917
574,2,Suite,No,79.96711422
575,2,Suite,Yes,476.8519098
576,2,Single,Yes,151.406676
577,2,Single,No,201.0323984
578,2,Suite,No,468.712097
579,2,Double,Yes,372.5141448
580,2,Single,No,163.343829
581,2,Single,Yes,143.7689249
582,2,Double,No,291.010047
583,2,Suite,No,492.2927271
584,2,Single,No,298.0251249
585,2,Suite,No,281.0665161
586,2,Double,No,262.746011
587,2,Suite,Yes,161.2557815
588,2,Single,No,418.4964481
589,2,Double,Yes,204.3434976
590,2,Suite,No,402.7427421
591,2,Double,Yes,309.0936255
592,2,Double,Yes,338.1053571
593,2,Suite,No,477.8305442
594,2,Single,No,83.0773214
595,2,Suite,No,161.0389318
596,2,Suite,No,430.2953504
597,2,Double,No,128.1036455
598,2,Single,No,225.7357783
599,3,Double,Yes,269.8710762
600,3,Suite,No,338.9265963
601,3,Double,Yes,362.0185671
602,3,Double,Yes,92.56674288
603,3,Single,No,306.8996802
604,3,Suite,No,299.6241206
605,3,Double,Yes,316.065182
606,3,Double,No,50.89177507
607,3,Single,No,141.2885095
608,3,Double,No,52.63901776
609,3,Single,No,457.0983293
610,3,Suite,No,161.1794799
611,3,Suite,Yes,486.2440995
612,3,Single,No,321.9116205
613,3,Suite,No,366.9773443
614,3,Single,Yes,359.7313115
615,3,Single,No,413.4643507
616,3,Double,Yes,459.6235237
617,3,Single,Yes,403.3246473
618,3,Double,No,332.1427432
619,3,Single,No,460.2327167
620,3,Double,Yes,133.1793557
621,3,Suite,No,195.1333032
622,3,Single,Yes,395.9337584
623,3,Suite,No,328.1876363
624,3,Suite,No,327.6796478
625,3,Suite,No,424.339262
626,3,Suite,Yes,198.8659437
627,3,Single,No,223.6026743
628,3,Single,Yes,269.9646011
629,3,Double,Yes,331.0223359
630,3,Single,Yes,432.8061902
631,3,Suite,Yes,285.7637619
632,3,Single,No,186.4395613
633,3,Single,No,277.530221
634,3,Double,No,391.3439836
635,3,Double,No,313.8065594
636,3,Suite,No,91.77686272
637,3,Double,No,196.5079274
638,3,Single,Yes,432.287461
639,3,Suite,Yes,445.8780422
640,3,Single,No,329.6779449
641,3,Suite,No,433.2868456
642,3,Suite,Yes,441.2281242
643,3,Suite,Yes,111.8039912
644,3,Suite,No,272.1053055
645,3,Double,Yes,100.9432487
646,3,Single,No,114.2723857
647,3,Double,Yes,140.0820797
648,3,Suite,Yes,82.09789236
649,3,Single,No,278.0157561
650,3,Double,No,103.2742148
651,3,Suite,No,304.740352
652,3,Double,Yes,324.6369143
653,3,Suite,Yes,407.9159675
654,3,Double,Yes,472.9790309
655,3,Double,Yes,336.664175
656,3,Suite,No,403.2776052
657,3,Double,Yes,50.24721502
658,4,Double,Yes,477.4880432
659,4,Single,No,338.408492
660,4,Double,Yes,216.7045043
661,4,Suite,No,476.0612106
662,4,Suite,Yes,96.35886701
663,4,Double,No,441.1117259
664,4,Suite,No,296.117563
665,4,Suite,Yes,318.3599809
666,4,Single,No,347.9658552
667,4,Single,No,285.0625549
668,4,Single,No,376.9599811
669,4,Suite,No,178.625496
670,4,Suite,No,468.1929504
671,4,Single,No,353.1203146
672,4,Single,No,356.9040983
